phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Marinisomatota,Bacteria,208,SH3_3+Amidase_2,1,0.481
Methanobacteriota,Archaea,207,CW_7+LysM+Glyco_hydro_25,1,0.483
Methanobacteriota,Archaea,207,Choline_bind_1+Choline_bind_3+Amidase_3,1,0.483
Methanobacteriota,Archaea,207,SPOR+Amidase_2,1,0.483
Micrarchaeota,Archaea,242,LysM+SLT,2,0.826
Micrarchaeota,Archaea,242,PG_binding_3+Glyco_hydro_108,1,0.413
Myxococcota,Bacteria,686,LysM+SLT,553,80.612
Myxococcota,Bacteria,686,LysM+Peptidase_M23,260,37.901
Myxococcota,Bacteria,686,LysM+Peptidase_M15,161,23.469
Myxococcota,Bacteria,686,AMIN+Amidase_3,111,16.181
Myxococcota,Bacteria,686,PG_binding_1+Amidase_2,56,8.163
Myxococcota,Bacteria,686,PG_binding_1+VanY,35,5.102
Myxococcota,Bacteria,686,SH3_6+NLPC_P60,32,4.665
Myxococcota,Bacteria,686,LysM+Phage_lysozyme2,14,2.041
Myxococcota,Bacteria,686,PG_binding_1+Peptidase_M23,13,1.895
Myxococcota,Bacteria,686,PG_binding_1+Peptidase_M15,12,1.749
Myxococcota,Bacteria,686,SH3_3+Amidase_2,9,1.312
Myxococcota,Bacteria,686,PG_binding_1+Glucosaminidase,8,1.166
Myxococcota,Bacteria,686,PG_binding_1+Glyco_hydro_25,8,1.166
Myxococcota,Bacteria,686,LysM+NLPC_P60,5,0.729
Myxococcota,Bacteria,686,PG_binding_3+Glyco_hydro_108,5,0.729
Myxococcota,Bacteria,686,LysM+Amidase_2,4,0.583
Myxococcota,Bacteria,686,SH3_3+Glyco_hydro_25,4,0.583
Myxococcota,Bacteria,686,SH3_3+NLPC_P60,3,0.437
Myxococcota,Bacteria,686,SH3_16+NLPC_P60,2,0.292
Myxococcota,Bacteria,686,LysM+Amidase_3,1,0.146
Nanoarchaeota,Archaea,695,LysM+SLT,28,4.029
Nanoarchaeota,Archaea,695,PG_binding_3+Glyco_hydro_108,7,1.007
Nanoarchaeota,Archaea,695,LysM+Peptidase_M15,6,0.863
Nanoarchaeota,Archaea,695,LysM+Amidase_2,2,0.288
Nanoarchaeota,Archaea,695,LysM+Peptidase_M23,2,0.288
Nanoarchaeota,Archaea,695,PG_binding_1+Amidase_2,2,0.288
Nanoarchaeota,Archaea,695,LysM+Amidase_3,1,0.144
Nanoarchaeota,Archaea,695,LysM+NLPC_P60,1,0.144
Nanoarchaeota,Archaea,695,PG_binding_1+Glucosaminidase,1,0.144
Nanoarchaeota,Archaea,695,PG_binding_1+Peptidase_M15,1,0.144
Nanoarchaeota,Archaea,695,PG_binding_1+Peptidase_M23,1,0.144
Nanoarchaeota,Archaea,695,PG_binding_3+Glyco_hydro_108+Peptidase_M23,1,0.144
Nanoarchaeota,Archaea,695,SH3_16+NLPC_P60,1,0.144
Nanoarchaeota,Archaea,695,SPOR+SLT,1,0.144
Nanohaloarchaeota,Archaea,26,LysM+SLT,4,15.385
Nitrospinota,Bacteria,80,LysM+SLT,64,80.0
Nitrospinota,Bacteria,80,LysM+Peptidase_M23,57,71.25
Nitrospinota,Bacteria,80,AMIN+Amidase_3,42,52.5
Nitrospinota,Bacteria,80,PG_binding_3+Glyco_hydro_108,3,3.75
Nitrospirota,Bacteria,391,LysM+SLT,332,84.91
Nitrospirota,Bacteria,391,AMIN+Amidase_3,230,58.824
Nitrospirota,Bacteria,391,LysM+NLPC_P60,126,32.225
Nitrospirota,Bacteria,391,PG_binding_3+Glyco_hydro_108,15,3.836
Nitrospirota,Bacteria,391,LysM+Peptidase_M23,13,3.325
Nitrospirota,Bacteria,391,SH3_3+Amidase_2,6,1.535
Nitrospirota,Bacteria,391,LysM+Peptidase_M15,3,0.767
Nitrospirota,Bacteria,391,SH3_3+NLPC_P60,2,0.512
Nitrospirota,Bacteria,391,LysM+Amidase_2,1,0.256
Nitrospirota,Bacteria,391,PG_binding_1+Amidase_2,1,0.256
Nitrospirota,Bacteria,391,PG_binding_1+VanY,1,0.256
Nitrospirota,Bacteria,391,SH3_16+NLPC_P60,1,0.256
Nitrospirota,Bacteria,391,SH3_6+NLPC_P60,1,0.256
Omnitrophota,Bacteria,417,LysM+Peptidase_M23,248,59.472
Omnitrophota,Bacteria,417,LysM+Amidase_2,152,36.451
Omnitrophota,Bacteria,417,SH3_6+NLPC_P60,94,22.542
Omnitrophota,Bacteria,417,SH3_16+NLPC_P60,3,0.719
Omnitrophota,Bacteria,417,PG_binding_3+Glyco_hydro_108,1,0.24
Omnitrophota,Bacteria,417,SH3_3+NLPC_P60,1,0.24
Omnitrophota,Bacteria,417,SH3_4+NLPC_P60,1,0.24
Patescibacteria,Bacteria,2903,LysM+Peptidase_M23,1949,67.137
Patescibacteria,Bacteria,2903,LysM+SLT,46,1.585
Patescibacteria,Bacteria,2903,PG_binding_1+Peptidase_M23,43,1.481
Patescibacteria,Bacteria,2903,PG_binding_1+VanY,18,0.62
Patescibacteria,Bacteria,2903,PG_binding_3+Glyco_hydro_108,10,0.344
Patescibacteria,Bacteria,2903,SH3_16+NLPC_P60,4,0.138
Patescibacteria,Bacteria,2903,LysM+Amidase_2,3,0.103
Patescibacteria,Bacteria,2903,LysM+Phage_lysozyme2,3,0.103
Patescibacteria,Bacteria,2903,PG_binding_1+Peptidase_M15,2,0.069
Patescibacteria,Bacteria,2903,CW_7+LysM+Glyco_hydro_25,1,0.034
Patescibacteria,Bacteria,2903,LysM+Amidase_3,1,0.034
Patescibacteria,Bacteria,2903,LysM+NLPC_P60,1,0.034
Patescibacteria,Bacteria,2903,PG_binding_1+Glucosaminidase,1,0.034
Patescibacteria,Bacteria,2903,PG_binding_1+Glyco_hydro_25,1,0.034
Patescibacteria,Bacteria,2903,SH3_3+Amidase_2,1,0.034
Planctomycetota,Bacteria,1571,LysM+Peptidase_M23,60,3.819
Planctomycetota,Bacteria,1571,SH3_16+NLPC_P60,32,2.037
Planctomycetota,Bacteria,1571,LysM+Amidase_2,21,1.337
Planctomycetota,Bacteria,1571,SH3_6+NLPC_P60,19,1.209
Planctomycetota,Bacteria,1571,PG_binding_3+Glyco_hydro_108,17,1.082
Planctomycetota,Bacteria,1571,SH3_3+NLPC_P60,8,0.509
Planctomycetota,Bacteria,1571,SH3_3+Amidase_2,7,0.446
Planctomycetota,Bacteria,1571,SH3_4+NLPC_P60,5,0.318
Planctomycetota,Bacteria,1571,PG_binding_1+Amidase_2,4,0.255
Planctomycetota,Bacteria,1571,LysM+Amidase_3,3,0.191
Planctomycetota,Bacteria,1571,LysM+SLT,1,0.064
Planctomycetota,Bacteria,1571,PG_binding_1+Glucosaminidase,1,0.064
Planctomycetota,Bacteria,1571,PG_binding_1+Peptidase_M23,1,0.064
Planctomycetota,Bacteria,1571,PG_binding_1+VanY,1,0.064
Planctomycetota,Bacteria,1571,SH3_3+Amidase_3,1,0.064
Planctomycetota,Bacteria,1571,SPOR+Amidase_2,1,0.064
Pseudomonadota,Bacteria,12130,LysM+Peptidase_M23,9615,79.266
Pseudomonadota,Bacteria,12130,AMIN+Amidase_3,6583,54.27
Pseudomonadota,Bacteria,12130,LysM+SLT,5747,47.378
Pseudomonadota,Bacteria,12130,SH3_16+NLPC_P60,2732,22.523
